dataset_name,cph_alpha,cph_score,rsf_n_estimators,rsf_min_samples_split,rsf_score,dh_dropout,dh_first_layer_size,dh_second_layer_size,dh_learning_rate,dh_num_bins,dh_score,ds_dropout,ds_first_layer_size,ds_second_layer_size,ds_learning_rate,ds_score
GBSG2,1e-06,0.6879358437935844,50,10,0.6844490934449093,0,512,32,0.0001,15,0.705718270571827,0.1,512,32,0.0001,0.6952580195258019
Melanoma,1e-06,0.8686868686868687,50,2,0.8636363636363636,0,128,32,0.0001,15,0.898989898989899,0,32,32,0.0001,0.8888888888888888
Unemployment,1e-06,0.5646747352496218,100,20,0.5548411497730711,0.1,256,32,0.0001,15,0.6509077155824509,0,32,32,0.001,0.6055219364599093
breast,1e-06,0.64,50,2,0.68,0,32,32,1e-05,15,0.74,0,128,32,1e-05,0.78
burn,1e-06,0.5957446808510638,50,10,0.7606382978723404,0.1,512,32,1e-05,15,0.9148936170212766,0.1,512,32,1e-05,0.7659574468085106
cancer,0.1,0.5848670756646217,200,2,0.6359918200408998,0,256,32,1e-05,20,0.6728016359918201,0.1,512,32,1e-05,0.6666666666666666
cgd,1e-06,0.42727272727272725,200,20,0.6,0,512,32,1e-05,15,0.7,0,128,32,1e-05,0.6181818181818182
colon,1e-06,0.6855677346824058,100,2,0.6897835862844295,0.1,512,32,0.0001,15,0.6702501405283867,0,32,32,0.0001,0.6817734682405846
cost,1e-06,0.7198185624563852,200,2,0.7041172365666434,0.1,32,32,0.001,15,0.7076064200976971,0.1,128,32,0.0001,0.7020237264480111
d.oropha.rec,1e-06,0.664,50,20,0.6773333333333333,0,32,32,0.0001,5,0.7173333333333334,0,256,32,0.0001,0.6666666666666666
dataOvarian1,0.1,0.596996996996997,50,10,0.6575075075075075,0,512,32,0.0001,15,0.6813813813813814,0,256,32,0.0001,0.6575075075075075
diabetes,1e-06,0.6542497376705142,100,20,0.5828961175236097,0.1,256,32,0.0001,15,0.6983210912906611,0.1,512,32,0.0001,0.6584470094438615
e1684,1e-06,0.5797807551766139,50,2,0.6163215590742996,0,128,32,1e-05,15,0.5919610231425091,0,256,32,0.001,0.5736906211936662
follic,1e-06,0.6242905788876277,100,20,0.6013999243284147,0,512,32,0.0001,20,0.6428301172909573,0,512,32,1e-05,0.6360196746121831
glioma,1e-06,0.8571428571428571,200,20,0.8214285714285714,0,32,32,0.001,5,0.9285714285714286,0,512,32,0.001,0.9285714285714286
grace,1e-06,0.7260707635009311,100,10,0.7478584729981378,0,512,32,0.0001,20,0.7458100558659218,0,32,32,0.001,0.7502793296089385
hepatoCellular,1e-06,0.6064139941690962,200,10,0.7288629737609329,0.1,512,32,0.001,5,0.7725947521865889,0.1,128,32,0.0001,0.749271137026239
mgus,1e-06,0.7598187311178247,200,2,0.7416918429003021,0.1,512,32,0.001,15,0.7779456193353474,0,128,32,0.0001,0.770392749244713
nki70,0.001,0.632183908045977,50,10,0.7011494252873564,0,128,32,0.001,20,0.8735632183908046,0,128,32,0.0001,0.896551724137931
ova,1e-06,0.6682945154019534,100,20,0.6322314049586777,0.1,32,32,0.0001,20,0.7036063110443276,0,256,32,0.001,0.6750563486100676
ovarian,1e-06,0.8,50,2,0.9,0,32,32,0.001,5,1.0,0.1,32,32,1e-05,1.0
pbc,1e-06,0.6896551724137931,100,10,0.7108150470219435,0,128,32,1e-05,5,0.725705329153605,0,256,32,0.001,0.7147335423197492
pharmacoSmoking,1e-06,0.6,100,2,0.6580645161290323,0,256,32,0.0001,20,0.7225806451612903,0,128,32,0.0001,0.6
phpl04K8a,0.1,0.6903270702853166,200,10,0.697981906750174,0.1,256,32,0.0001,15,0.6917188587334725,0,256,32,0.0001,0.6757132915796799
prostate,1e-06,0.5902477388910735,100,10,0.5851356665355879,0.1,32,32,0.001,10,0.6665355878883209,0.1,128,32,0.0001,0.6173810460086512
retinopathy,1e-06,0.6373165618448637,200,20,0.6027253668763103,0.1,512,32,0.0001,20,0.7159329140461216,0,32,32,0.0001,0.6624737945492662
stagec,0.1,0.584,100,20,0.64,0,512,32,1e-05,15,0.816,0.1,256,32,0.0001,0.728
uis,1e-06,0.575574645925238,50,20,0.5597863942419318,0,256,32,0.0001,10,0.573485024378918,0,256,32,0.0001,0.6052937079173438
veteran,1e-06,0.5,200,2,0.6060606060606061,0,512,32,0.0001,10,0.6919191919191919,0.1,512,32,0.001,0.7070707070707071
vlbw,0.1,0.8809523809523809,200,10,0.9375,0.1,256,32,0.0001,15,0.9107142857142857,0,128,32,0.0001,0.9275793650793651
whas500,0.1,0.7586471944657955,200,10,0.7847809377401999,0,512,32,0.001,5,0.7486548808608763,0.1,32,32,0.001,0.7524980784012298
zinc,0.1,0.7234401349072512,100,20,0.7790893760539629,0.1,512,32,0.0001,20,0.790893760539629,0.1,128,32,0.0001,0.790893760539629
